Experiment,Minute,Event,Chamber,Event Text,A,B,Condition
3,163.43,,,,189.3087,195.5516,
3,163.47,,,,189.1032,195.1708,
3,163.5,,,,188.9086,194.7836,
3,163.53,,,,188.7603,194.404,
3,163.57,,,,188.6156,194.0488,
3,163.6,,,,188.4392,193.718,
3,163.63,,,,188.2897,193.4077,
3,163.67,,,,188.1377,193.1307,
3,163.7,,,,187.9662,192.8871,
3,163.73,,,,187.8008,192.6268,
3,163.77,,,,187.6634,192.3665,
3,163.8,,,,187.5358,192.1472,
3,163.83,,,,187.3996,191.9177,
3,163.87,,,,187.3157,191.683,
3,163.9,,,,187.2026,191.474,
3,163.93,,,,187.0931,191.2701,
3,163.97,,,,187.019,191.0791,
3,164,,,,186.9326,190.8919,
3,164.03,,,,186.8572,190.7149,
3,164.07,,,,186.8013,190.5764,
3,164.1,,,,186.7344,190.4392,
3,164.13,,,,186.6846,190.3213,
3,164.17,,,,186.6578,190.1892,
3,164.2,,,,186.6299,190.0738,
3,164.23,,,,186.5885,189.9943,
3,164.27,,,,186.5508,189.8968,
3,164.3,,,,186.5229,189.8032,
3,164.33,,,,186.4548,189.7071,
3,164.37,,,,186.4122,189.6173,
3,164.4,,,,186.4134,189.5634,
3,164.43,,,,186.1605,189.5032,
3,164.47,,,,185.6328,189.448,
3,164.5,,,,185.2473,189.3903,
3,164.53,,,,185.2522,189.3288,
3,164.57,,,,184.998,189.2762,
3,164.6,,,,184.8947,189.23,
3,164.63,,,,184.8144,189.1685,
3,164.67,,,,184.7925,189.1621,
3,164.7,,,,184.7889,188.889,
3,164.73,,,,184.7913,188.0811,
3,164.77,,,,184.7901,187.4733,
3,164.8,,,,184.7852,187.0797,
3,164.83,DMEM,Both,,184.8022,186.8425,C2
3,164.87,,,,184.8387,186.7194,
3,164.9,,,,184.8533,186.6155,
3,164.93,,,,184.8509,186.5309,
3,164.97,,,,184.8363,186.5155,
3,165,,,,184.8241,186.5052,
3,165.03,,,,184.846,186.5027,
3,165.07,,,,184.8509,186.5501,
3,165.1,,,,184.9032,186.5604,
3,165.13,,,,184.9068,186.5411,
3,165.17,,,,184.9117,186.5616,
3,165.2,,,,184.9068,186.6078,
3,165.23,,,,184.9044,186.6463,
3,165.27,,,,184.9396,186.6745,
3,165.3,,,,184.9652,186.6911,
3,165.33,,,,184.9396,186.6809,
3,165.37,,,,184.9226,186.704,
3,165.4,,,,184.9311,186.7309,
3,165.43,,,,184.9275,186.754,
3,165.47,,,,184.9287,186.7886,
3,165.5,,,,184.9469,186.8142,
3,165.53,,,,184.9749,186.8501,
3,165.57,,,,184.9871,186.8848,
3,165.6,,,,184.9676,186.9002,
3,165.63,,,,184.9688,186.9489,
3,165.67,,,,184.9798,186.9835,
3,165.7,,,,184.9932,186.9707,
3,165.73,,,,184.9895,187.004,
3,165.77,,,,185.026,187.0117,
3,165.8,,,,185.0211,187.0386,
3,165.83,,,,184.9846,187.0989,
3,165.87,,,,185.0077,187.1194,
3,165.9,,,,185.0296,187.1361,
3,165.93,,,,185.0576,187.1694,
3,165.97,,,,185.0722,187.1964,
3,166,,,,185.0904,187.2335,
3,166.03,,,,185.0795,187.2528,
3,166.07,,,,185.0758,187.2592,
3,166.1,,,,185.0661,187.2707,
3,166.13,,,,185.0467,187.29,
3,166.17,,,,185.0564,187.3041,
3,166.2,,,,185.0625,187.3259,
3,166.23,,,,185.0454,187.3695,
3,166.27,,,,185.0357,187.3951,
3,166.3,,,,185.0807,187.3861,
3,166.33,,,,185.1111,187.4092,
3,166.37,,,,185.1184,187.4503,
3,166.4,,,,185.1184,187.4656,
3,166.43,,,,185.1293,187.4926,
3,166.47,,,,185.133,187.4862,
3,166.5,,,,185.1464,187.4759,
3,166.53,,,,185.1804,187.4746,
3,166.57,,,,185.1974,187.4849,
3,166.6,,,,185.1889,187.5092,
3,166.63,,,,185.2145,187.5605,
3,166.67,,,,185.2315,187.5695,
3,166.7,,,,185.2254,187.5669,
3,166.73,,,,185.2157,187.5669,
3,166.77,,,,185.2254,187.5823,
3,166.8,,,,185.2278,187.6016,
3,166.83,,,,185.2266,187.6144,
3,166.87,,,,185.2291,187.6336,
3,166.9,,,,185.2363,187.6439,
3,166.93,,,,185.2254,187.6529,
3,166.97,,,,185.2497,187.6631,
3,167,,,,185.2412,187.6631,
3,167.03,,,,185.2449,187.6452,
3,167.07,,,,185.2485,187.6759,
3,167.1,,,,185.2789,187.699,
3,167.13,,,,185.3117,187.699,
3,167.17,,,,185.3215,187.7016,
3,167.2,,,,185.3348,187.7003,
3,167.23,,,,185.3385,187.7221,
3,167.27,,,,185.3361,187.7106,
3,167.3,,,,185.3288,187.7016,
3,167.33,,,,185.3348,187.7003,
3,167.37,,,,185.3312,187.7195,
3,167.4,,,,185.3494,187.7388,
3,167.43,,,,185.3178,187.7554,
3,167.47,,,,185.3154,187.7542,
3,167.5,,,,185.3215,187.7439,
3,167.53,,,,184.9895,187.7413,
3,167.57,,,,181.9629,187.7349,
3,167.6,,,,177.0054,187.7452,
3,167.63,,,,174.1648,187.7849,
3,167.67,,,,173.0474,187.8131,
3,167.7,,,,172.6437,187.8413,
3,167.73,,,,172.5281,187.8734,
3,167.77,,,,172.5172,187.8696,
3,167.8,,,,172.5403,187.8413,
3,167.83,,,,172.5889,187.8157,
3,167.87,,,,172.64,187.8093,
3,167.9,,,,172.6874,187.826,
3,167.93,,,,172.7336,187.8478,
3,167.97,,,,172.8042,187.8516,
3,168,,,,172.8856,187.8593,
3,168.03,,,,172.9294,187.858,
3,168.07,,,,172.9805,187.1976,
3,168.1,,,,173.0376,184.0227,
3,168.13,,,,173.0899,179.7977,
3,168.17,HEK293,Both,,173.1228,177.5562,C2
3,168.2,,,,173.1349,176.7164,
3,168.23,,,,173.1373,176.4625,
3,168.27,,,,173.186,176.3971,
3,168.3,,,,173.2249,176.4009,
3,168.33,,,,173.2383,176.4484,
3,168.37,,,,173.2371,176.524,
3,168.4,,,,173.2602,176.6086,
3,168.43,,,,173.2881,176.674,
3,168.47,,,,173.2966,176.7125,
3,168.5,,,,173.2869,176.7471,
3,168.53,,,,173.3051,176.7997,
3,168.57,,,,173.3501,176.8523,
3,168.6,,,,173.3684,176.9177,
3,168.63,,,,173.3939,176.9561,
3,168.67,,,,173.3903,176.9831,
3,168.7,,,,173.3696,176.9728,
3,168.73,,,,173.3465,176.9754,
3,168.77,,,,173.327,177.0267,
3,168.8,,,,173.3234,177.0523,
3,168.83,,,,173.3623,177.0562,
3,168.87,,,,173.3538,177.0562,
3,168.9,,,,173.3246,177.06,
3,168.93,,,,173.3137,177.0754,
3,168.97,,,,173.3003,177.0767,
3,169,,,,173.3112,177.0895,
3,169.03,,,,173.2918,177.078,
3,169.07,,,,173.265,177.069,
3,169.1,,,,173.2553,177.0792,
3,169.13,,,,173.2285,177.0626,
3,169.17,,,,173.2127,177.0292,
3,169.2,,,,173.2091,177.01,
3,169.23,,,,173.169,177.0087,
3,169.27,,,,173.1665,176.9946,
3,169.3,,,,173.1459,176.9805,
3,169.33,,,,173.1483,176.9831,
3,169.37,,,,173.1337,176.9895,
3,169.4,,,,173.0924,176.9651,
3,169.43,,,,173.0875,176.9407,
3,169.47,,,,173.079,176.9292,
3,169.5,,,,173.0571,176.9087,
3,169.53,,,,173.0084,176.8741,
3,169.57,,,,172.9622,176.8292,
3,169.6,,,,172.9331,176.7946,
3,169.63,,,,172.9039,176.7587,
3,169.67,,,,172.854,176.7381,
3,169.7,,,,172.809,176.6958,
3,169.73,,,,172.7835,176.6253,
3,169.77,,,,172.7701,176.5817,
3,169.8,,,,172.7349,176.5625,
3,169.83,,,,172.713,176.5638,
3,169.87,,,,172.7069,176.542,
3,169.9,,,,172.6643,176.4996,
3,169.93,,,,172.6412,176.4881,
3,169.97,,,,172.6266,176.4535,
